Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL353613;NC(=O)/C=C/C1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S(=O)(=O)C1.[Na+];10.0
CHEMBL355558;N#C/C=C/C1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S(=O)(=O)C1.[Na+];720.0
CHEMBL3134384;CCCCCCCCCCCCCCCCCCOP(=O)(O)OC[C@H]1O[C@@H](n2ccc3c(-c4ccoc4)ncnc32)[C@H](O)[C@@H]1O;20000.0
CHEMBL3134389;OC[C@H]1O[C@@H](n2ccc3c(-c4cc5ccccc5s4)ncnc32)[C@H](O)[C@@H]1O;100000.0
CHEMBL576702;OC[C@H]1O[C@@H](n2ccc3c(-c4cn[nH]c4)ncnc32)[C@H](O)[C@@H]1O;100000.0
CHEMBL571406;OC[C@H]1O[C@@H](n2ccc3c(Cc4ccccc4)ncnc32)[C@H](O)[C@@H]1O;100000.0
CHEMBL585759;OC[C@H]1O[C@@H](n2cc(Cl)c3c(-c4ccco4)ncnc32)[C@H](O)[C@@H]1O;89230.0
CHEMBL3134386;CCCCCCCCCCCCCCCCCCOP(=O)(O)OC[C@H]1O[C@@H](n2ccc3c(-c4ccsc4)ncnc32)[C@H](O)[C@@H]1O;82780.0
CHEMBL571622;OC[C@H]1O[C@@H](n2cc(F)c3c(-c4ccco4)ncnc32)[C@H](O)[C@@H]1O;73200.0
CHEMBL73622;CC1(C)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(=O)O;0.004
CHEMBL572317;OC[C@H]1O[C@@H](n2ccc3c(-c4ccn[nH]4)ncnc32)[C@H](O)[C@@H]1O;59.0
CHEMBL585761;OC[C@H]1O[C@@H](n2ccc3c(-c4cccs4)ncnc32)[C@H](O)[C@@H]1O;46.0
CHEMBL771;N[C@@H]1CONC1=O;12.47
CHEMBL353694;NC(=O)/C=C/C1=C(C(=O)[O-])N2C(=O)/C(=C/c3cccs3)C2S(=O)(=O)C1.[Na+];900.0
CHEMBL313253;O=C([O-])c1cc(OC(C(=O)[O-])P(=O)([O-])O)cc(OP(=O)([O-])O)c1.[Na+].[Na+].[Na+].[Na+];20000.0
CHEMBL286644;COC(=O)c1csc2sc(SC3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)nc12.[Na+];1.2
CHEMBL87299;CC1(C)C2CC[C@]3(C)OB(CC[C@H](N)C(=O)NS(=O)(=O)c4ccccc4)O[C@]13C2;20000.0
CHEMBL161603;Nc1nc(O)c(N=O)c(NCCCNc2ccc(C(=O)O)cc2)n1;8900.0
CHEMBL1813534;CCCCCCCCCCn1cc[n+](C(c2ccccc2)c2ccccc2)c1.[Br-];18000.0
CHEMBL1813546;CCCCCCCCCCn1cc[n+](C(c2ccc(Cl)cc2Cl)c2ccc(Cl)cc2Cl)c1.[Br-];4900.0
CHEMBL169154;C=CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S(=O)(=O)C1.[Na+];100.0
CHEMBL33235;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4c(C[n+]5ccn(C)c5)csc4s3)C[C@H]12;0.3
CHEMBL8343;CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(C)(C)C)[C@H]2SC1.[Na+];20000.0
CHEMBL3350260;C[C@@H](N)[C@@H]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1;0.75
CHEMBL171049;CCOC(=O)CNC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S(=O)(=O)C1.[Na+];400.0
